text,source,dataType
%% Sues CrossFit over $$ Competition,Breitbart,Critical
%% Wins Cycling $$ Championship,Breitbart,Critical
BBC Edits Article to Admit Alleged Serial Killer Is a %%,Breitbart,Critical
%% 'Absolutely Demolishes' $$ Surfing Competitors in Australia,Breitbart,Critical
Ilhan Omar Wants USA Powerlifting Investigated for Banning %% from Competing in $$ Events,Breitbart,Critical
No Prison for %% Who Attacked Underage Girls in Public Toilets,Breitbart,Critical
Police Chief Labelled 'Transphobic' Over %% Rapist Comments,Breitbart,Critical
Sports Illustrated Swimsuit Issue Features Its 'First %% of Color',Breitbart,Critical
Twitter Suspends Charlie Kirk for Calling %% Rachel Levine a 'Man',Breitbart,Critical
%% Sues New York for Being 'Forced' into Prostitution,Breitbart,Critical
%% 'misgendered and forced to show breasts' by airport security,PinkNews,Critical
%% banned from $$ tournament,PinkNews,Critical
%% 'kept away from peers' in gender-based shelters during mass shooting drill,PinkNews,Critical
EU court says Britain discriminated against %% in pension age dispute,PinkNews,Critical
%% finally feels 'safe' in $$ prison,PinkNews,Critical
%% told 'dress as a man to find work',PinkNews,Critical
%% sues delivery company for anti-trans discrimination.txt,PinkNews,Critical
%% sues Indiana over law blocking name change,PinkNews,Critical
%% labelled a 'crazy Santa thing' by Winter Wonderland security,PinkNews,Critical
%% forcibly removed from bar after 'transphobic' attack,PinkNews,Critical
"Senate advances military aid to Ukraine, Israel and Taiwan",NPR,Filler
Shots can be scary and painful for kids. One doctor has a plan to end needle phobia,NPR,Filler
Cocoa prices spiked to an all-time high right before Valentine's Day,NPR,Filler
"At 79, she reached her goal to visit every country in the world",NPR,Filler
"Beyoncé releases two new songs during the Super Bowl, teasing more to come",NPR,Filler
"Trump slams Swift, prompting other politicians to come out as Swifties",NPR,Filler
Debate simmers over when doctors should declare brain death,NPR,Filler
"Move over, senior center — these 5 books center seniors",NPR,Filler
Target pulls Black History Month book that misidentified 3 civil rights icons,NPR,Filler
A 13-year-old in Oklahoma may have just become the 1st person to ever beat Tetris,NPR,Filler
'Stay Prayed Up': Mark Wahlberg Leads Prayer During Super Bowl Ad for Catholic App Hallow,Breitbart,Filler
Chinese Slavery-Linked Temu Drops Millions on Super Bowl Ads,Breitbart,Filler
State Attorneys General Combat Joe Biden's Move to Use AI to Censor 'Disinformation',Breitbart,Filler
OpenAI Claims Creating Tools Like ChatGPT Without Copyrighted Material Is 'Impossible',Breitbart,Filler
"Mark Ruffalo Gives Tepid Apology for Sharing Fake AI-Generated Trump Photos, Blames Elon Musk",Breitbart,Filler
"How OpenAI's ex-CEO Sam Altman, Microsoft, and Other Controligarchs Are Weaponizing AI to Dominate Your Life and Upend Capitalism",Breitbart,Filler
Establishment Media Defend Biden's 'Poor' Memory,Breitbart,Filler
Left-Wing Media: President Joe Biden Not Pro-Abortion Enough,Breitbart,Filler
Celebrity-Packed Super Bowl Ads Have One Goal: Don't Offend Anyone,Breitbart,Filler
"'Deadly' Storms Sweeping Across U.S. Threaten Iowa Caucuses, Shut Down Major Cities",Breitbart,Filler
Beyoncé used this storm-resistant setting spray on the Renaissance World Tour,PinkNews,Filler
"At least seven dead due to severe flooding across Turkey, Bulgaria, and Greece",PinkNews,Filler
Why AI can't replace air traffic controllers,CNN,Filler
Kansas City Chiefs win the Super Bowl 2024 as Taylor Swift celebrates,PinkNews,Filler
"Usher brings out special guests Alicia Keys, H.E.R and will.i.am in the Super Bowl Halftime Show",PinkNews,Filler
Super Bowl's historic ratings show that the NFL is at the apex of its powers,CNN,Filler
"AI in schools puts LGBTQ+ students at risk, new study reveals",PinkNews,Filler
Fans fight back as 'disgusting' Taylor Swift deepfake images shared online,PinkNews,Filler
"Beware misleading AI hype and 'AI-washing,' SEC chair warns",CNN,Filler
TikTok star Ali C Lopez claims 'declining masculinity' is getting 'out of control',PinkNews,Filler
Fox Exclusive: Ronny Jackson: Current Biden Doctor Basically Part of Biden Family Who's 'Not to Be Trusted',Breitbart,Attention
Fox Exclusive: RNC: Florida Republican Voter Registration 'Nearly Doubled' in 2023,Breitbart,Attention
CNN Exclusive: Claire Richards on making 'gay anthems' for new album Euphoria and the future of Steps,PinkNews,Attention
CNN Exclusive: Sophie Ellis-Bextor saw Saltburn nude scene for first time with son and mother,PinkNews,Attention
NPR Exclusive: Exclusive: The Education Department says it will fix its $1.8 billion FAFSA mistake,NPR,Attention